Date,MSCI ACWI ex USA Index
1998-12-31,90.394505
1999-01-01,90.394541
1999-01-04,92.342325
1999-01-05,93.027551
1999-01-06,94.520534
1999-01-07,94.074061
1999-01-08,93.545127
1999-01-11,92.755641
1999-01-12,91.345
1999-01-13,88.9633
1999-01-14,89.187207
1999-01-15,89.899171
1999-01-18,91.460843
1999-01-19,91.265839
1999-01-20,92.052744
1999-01-21,91.518359
1999-01-22,89.424825
1999-01-25,89.467837
1999-01-26,89.857502
1999-01-27,89.829982
1999-01-28,89.838014
1999-01-29,90.217488
1999-02-01,91.095319
1999-02-02,91.205713
1999-02-03,90.245603
1999-02-04,89.878509
1999-02-05,89.326622
1999-02-08,88.717907
1999-02-09,87.399966
1999-02-10,86.975616
1999-02-11,87.897234
1999-02-12,88.527669
1999-02-15,88.526949
1999-02-16,88.24148
1999-02-17,87.753786
1999-02-18,87.670836
1999-02-19,87.22317
1999-02-22,87.969464
1999-02-23,88.350383
1999-02-24,88.728949
1999-02-25,88.503705
1999-02-26,88.121589
1999-03-01,86.9963
1999-03-02,86.768607
1999-03-03,86.319983
1999-03-04,86.294693
1999-03-05,88.596135
1999-03-08,88.752427
1999-03-09,89.398651
1999-03-10,90.424766
1999-03-11,90.752134
1999-03-12,91.661998
1999-03-15,92.000159
1999-03-16,92.501598
1999-03-17,92.788112
1999-03-18,92.020542
1999-03-19,93.213587
1999-03-22,92.686285
1999-03-23,91.370594
1999-03-24,90.500764
1999-03-25,91.571059
1999-03-26,90.73976
1999-03-29,91.500175
1999-03-30,91.494075
1999-03-31,92.492129
1999-04-01,93.059255
1999-04-02,92.923571
1999-04-05,92.583907
1999-04-06,94.016299
1999-04-07,94.687065
1999-04-08,95.534394
1999-04-09,95.441401
1999-04-12,95.3722
1999-04-13,96.082155
1999-04-14,96.545423
1999-04-15,95.670299
1999-04-16,96.051818
1999-04-19,96.628075
1999-04-20,95.139067
1999-04-21,94.621952
1999-04-22,95.418646
1999-04-23,95.939293
1999-04-26,96.366565
1999-04-27,97.681173
1999-04-28,97.608909
1999-04-29,96.965624
1999-04-30,97.109378
1999-05-03,97.35897
1999-05-04,97.58881
1999-05-05,97.053862
1999-05-06,98.34738
1999-05-07,97.73712
1999-05-10,98.009109
1999-05-11,97.313467
1999-05-12,96.719283
1999-05-13,96.802457
1999-05-14,95.790695
1999-05-17,93.841947
1999-05-18,94.572149
1999-05-19,94.474883
1999-05-20,94.901732
1999-05-21,94.544278
1999-05-24,94.32971
1999-05-25,93.60242
1999-05-26,93.162841
1999-05-27,92.315839
1999-05-28,92.542979
1999-05-31,92.637281
1999-06-01,93.341118
1999-06-02,93.441412
1999-06-03,93.681397
1999-06-04,94.000091
1999-06-07,95.083845
1999-06-08,96.128587
1999-06-09,96.492548
1999-06-10,96.642021
1999-06-11,97.622486
1999-06-14,96.59417
1999-06-15,96.596236
1999-06-16,96.958116
1999-06-17,97.693338
1999-06-18,98.09577
1999-06-21,98.690197
1999-06-22,98.592861
1999-06-23,97.486074
1999-06-24,96.987113
1999-06-25,97.351491
1999-06-28,97.259767
1999-06-29,97.307729
1999-06-30,96.928354
1999-07-01,98.577353
1999-07-02,99.167629
1999-07-05,100.589999
1999-07-06,100.348172
1999-07-07,99.666521
1999-07-08,99.041256
1999-07-09,99.209835
1999-07-12,99.189936
1999-07-13,98.534108
1999-07-14,99.205643
1999-07-15,100.487295
1999-07-16,99.904247
1999-07-19,99.922086
1999-07-20,99.887194
1999-07-21,99.37393
1999-07-22,98.40635
1999-07-23,97.100633
1999-07-26,97.11095
1999-07-27,97.436845
1999-07-28,98.11774
1999-07-29,97.850437
1999-07-30,99.132516
1999-08-02,98.64032
1999-08-03,98.649708
1999-08-04,98.653575
1999-08-05,97.017473
1999-08-06,96.574248
1999-08-09,96.546173
1999-08-10,95.782611
1999-08-11,95.60726
1999-08-12,97.083942
1999-08-13,97.700205
1999-08-16,98.700988
1999-08-17,98.514769
1999-08-18,99.08809
1999-08-19,99.009036
1999-08-20,100.292908
1999-08-23,101.245525
1999-08-24,100.752647
1999-08-25,101.035168
1999-08-26,100.477216
1999-08-27,100.481724
1999-08-30,100.710292
1999-08-31,99.491633
1999-09-01,100.899926
1999-09-02,100.504045
1999-09-03,101.04852
1999-09-06,101.94645
1999-09-07,101.306693
1999-09-08,101.181306
1999-09-09,102.361219
1999-09-10,102.094052
1999-09-13,102.15395
1999-09-14,101.919431
1999-09-15,101.537309
1999-09-16,100.399779
1999-09-17,100.229062
1999-09-20,100.921681
1999-09-21,101.141759
1999-09-22,100.096218
1999-09-23,100.170159
1999-09-24,98.686289
1999-09-27,98.933047
1999-09-28,99.247909
1999-09-29,99.165468
1999-09-30,100.137643
1999-10-01,100.442089
1999-10-04,100.989492
1999-10-05,101.040159
1999-10-06,101.503414
1999-10-07,102.492785
1999-10-08,102.226728
1999-10-11,102.612662
1999-10-12,102.648463
1999-10-13,101.415335
1999-10-14,101.360411
1999-10-15,100.425934
1999-10-18,98.878309
1999-10-19,99.897347
1999-10-20,100.551383
1999-10-21,100.361335
1999-10-22,101.227454
1999-10-25,101.1905
1999-10-26,101.529437
1999-10-27,100.814501
1999-10-28,101.72057
1999-10-29,103.774165
1999-11-01,103.811183
1999-11-02,103.969114
1999-11-03,104.151618
1999-11-04,105.118555
1999-11-05,104.759848
1999-11-08,104.494186
1999-11-09,105.15879
1999-11-10,106.178949
1999-11-11,106.805335
1999-11-12,106.467463
1999-11-15,107.031576
1999-11-16,107.157632
1999-11-17,107.832989
1999-11-18,108.387942
1999-11-19,108.48852
1999-11-22,108.385224
1999-11-23,108.77226
1999-11-24,107.988967
1999-11-25,109.029256
1999-11-26,109.743947
1999-11-29,109.575641
1999-11-30,107.864092
1999-12-01,108.419306
1999-12-02,108.535067
1999-12-03,109.970144
1999-12-06,111.258641
1999-12-07,111.778531
1999-12-08,111.362923
1999-12-09,111.442793
1999-12-10,111.665587
1999-12-13,111.404153
1999-12-14,110.908383
1999-12-15,110.167964
1999-12-16,111.385539
1999-12-17,111.847563
1999-12-20,112.444514
1999-12-21,112.459842
1999-12-22,113.784653
1999-12-23,115.285424
1999-12-24,115.907742
1999-12-27,115.793283
1999-12-28,116.427702
1999-12-29,116.957497
1999-12-30,118.035502
1999-12-31,118.082004
2000-01-03,119.095391
2000-01-04,116.808144
2000-01-05,113.573145
2000-01-06,112.014568
2000-01-07,113.484151
2000-01-10,114.822026
2000-01-11,115.321194
2000-01-12,114.731954
2000-01-13,115.39538
2000-01-14,116.358387
2000-01-17,117.469284
2000-01-18,115.763198
2000-01-19,114.555015
2000-01-20,114.594114
2000-01-21,114.123625
2000-01-24,113.974005
2000-01-25,112.563584
2000-01-26,113.463737
2000-01-27,114.131736
2000-01-28,113.355467
2000-01-31,111.572897
2000-02-01,111.935077
2000-02-02,113.288348
2000-02-03,115.725352
2000-02-04,116.297491
2000-02-07,115.500264
2000-02-08,117.097307
2000-02-09,117.805486
2000-02-10,117.398445
2000-02-11,117.127326
2000-02-14,115.943877
2000-02-15,114.329058
2000-02-16,115.091092
2000-02-17,116.223772
2000-02-18,115.460289
2000-02-21,113.937106
2000-02-22,114.442865
2000-02-23,115.508206
2000-02-24,115.328922
2000-02-25,115.784019
2000-02-28,114.335601
2000-02-29,114.545716
2000-03-01,116.829467
2000-03-02,118.235795
2000-03-03,118.327581
2000-03-06,118.615818
2000-03-07,118.262349
2000-03-08,117.224158
2000-03-09,118.156181
2000-03-10,118.410197
2000-03-13,115.743198
2000-03-14,115.613468
2000-03-15,114.151676
2000-03-16,116.155949
2000-03-17,116.877656
2000-03-20,117.550537
2000-03-21,117.918721
2000-03-22,117.337684
2000-03-23,117.735576
2000-03-24,119.587548
2000-03-27,120.047675
2000-03-28,120.64006
2000-03-29,120.238841
2000-03-30,117.850125
2000-03-31,118.941283
2000-04-03,117.486483
2000-04-04,117.032453
2000-04-05,116.066545
2000-04-06,116.845414
2000-04-07,117.868737
2000-04-10,118.208283
2000-04-11,116.599826
2000-04-12,116.318753
2000-04-13,115.257362
2000-04-14,112.91797
2000-04-17,109.710379
2000-04-18,111.275693
2000-04-19,111.775528
2000-04-20,112.178703
2000-04-21,112.142061
2000-04-24,112.457657
2000-04-25,112.635986
2000-04-26,112.989044
2000-04-27,111.27852
2000-04-28,112.316106
2000-05-01,112.766253
2000-05-02,114.044153
2000-05-03,111.537762
2000-05-04,111.626278
