Date,MSCI EAFE Value Index
1998-12-31,3674.394401
1999-01-01,3674.395981
1999-01-04,3740.607429
1999-01-05,3755.977311
1999-01-06,3823.295156
1999-01-07,3802.003914
1999-01-08,3778.811725
1999-01-11,3754.510162
1999-01-12,3709.543217
1999-01-13,3618.807502
1999-01-14,3629.684922
1999-01-15,3643.149262
1999-01-18,3694.108924
1999-01-19,3683.528505
1999-01-20,3713.624404
1999-01-21,3700.572477
1999-01-22,3612.837052
1999-01-25,3608.563768
1999-01-26,3610.536844
1999-01-27,3603.025243
1999-01-28,3610.828775
1999-01-29,3627.722721
1999-02-01,3663.734138
1999-02-02,3679.753947
1999-02-03,3642.232244
1999-02-04,3630.944798
1999-02-05,3621.68165
1999-02-08,3602.904649
1999-02-09,3550.246682
1999-02-10,3530.090498
1999-02-11,3556.730519
1999-02-12,3583.616687
1999-02-15,3583.434915
1999-02-16,3571.911096
1999-02-17,3547.030669
1999-02-18,3542.532806
1999-02-19,3517.658772
1999-02-22,3541.830188
1999-02-23,3566.353207
1999-02-24,3580.036615
1999-02-25,3579.456758
1999-02-26,3570.731064
1999-03-01,3518.424443
1999-03-02,3509.048307
1999-03-03,3497.307
1999-03-04,3509.191829
1999-03-05,3610.737429
1999-03-08,3607.654465
1999-03-09,3635.591033
1999-03-10,3691.790785
1999-03-11,3734.585391
1999-03-12,3771.951483
1999-03-15,3785.944276
1999-03-16,3813.46729
1999-03-17,3843.895501
1999-03-18,3819.208384
1999-03-19,3865.855446
1999-03-22,3841.647103
1999-03-23,3794.387005
1999-03-24,3748.608387
1999-03-25,3792.36381
1999-03-26,3766.141458
1999-03-29,3794.203285
1999-03-30,3788.798986
1999-03-31,3827.48595
1999-04-01,3841.504573
1999-04-02,3832.582996
1999-04-05,3812.070432
1999-04-06,3868.555832
1999-04-07,3901.411826
1999-04-08,3934.672517
1999-04-09,3943.380428
1999-04-12,3933.452214
1999-04-13,3963.375123
1999-04-14,3990.955605
1999-04-15,3980.686481
1999-04-16,4024.440655
1999-04-19,4067.144026
1999-04-20,4007.798882
1999-04-21,3975.538691
1999-04-22,4005.497682
1999-04-23,4029.525539
1999-04-26,4043.270052
1999-04-27,4100.950034
1999-04-28,4096.885713
1999-04-29,4084.528578
1999-04-30,4093.422119
1999-05-03,4097.088246
1999-05-04,4111.208098
1999-05-05,4081.603466
1999-05-06,4150.347012
1999-05-07,4125.335851
1999-05-10,4122.378845
