Date,MSCI EM Quality Index
1997-01-01,233.557863
1997-01-02,235.21775
1997-01-03,235.963037
1997-01-06,236.757413
1997-01-07,239.225802
1997-01-08,242.053849
1997-01-09,242.873131
1997-01-10,243.967551
1997-01-13,244.734921
1997-01-14,246.023769
1997-01-15,248.515607
1997-01-16,248.156132
1997-01-17,248.533953
1997-01-20,248.064433
1997-01-21,248.253581
1997-01-22,248.574132
1997-01-23,250.522727
1997-01-24,252.086829
1997-01-27,255.369337
1997-01-28,253.284329
1997-01-29,252.966318
1997-01-30,253.053608
1997-01-31,253.074602
1997-02-03,253.532622
1997-02-04,252.624213
1997-02-05,254.380627
1997-02-06,256.323918
1997-02-07,257.063406
1997-02-10,258.324647
1997-02-11,258.935441
1997-02-12,261.434207
1997-02-13,262.721865
1997-02-14,261.884211
1997-02-17,262.242267
1997-02-18,262.298454
1997-02-19,263.59239
1997-02-20,264.142359
1997-02-21,262.966928
1997-02-24,263.889635
1997-02-25,264.785408
1997-02-26,263.927163
1997-02-27,263.480752
1997-02-28,262.968483
1997-03-03,263.440959
1997-03-04,262.593896
1997-03-05,261.868622
1997-03-06,262.837568
1997-03-07,262.596798
1997-03-10,261.751817
1997-03-11,261.756227
1997-03-12,261.383173
1997-03-13,262.191866
1997-03-14,260.389407
1997-03-17,262.75934
1997-03-18,262.712263
1997-03-19,261.722464
1997-03-20,261.550472
1997-03-21,259.878454
1997-03-24,259.670904
1997-03-25,259.955291
1997-03-26,260.240211
1997-03-27,259.43003
1997-03-28,259.379266
1997-03-31,256.861774
1997-04-01,255.556567
1997-04-02,255.19643
1997-04-03,254.658223
1997-04-04,254.514036
1997-04-07,255.134482
1997-04-08,255.446022
1997-04-09,257.693693
1997-04-10,255.669712
1997-04-11,255.72632
1997-04-14,252.864881
1997-04-15,253.01236
1997-04-16,252.950233
1997-04-17,253.992684
1997-04-18,253.447269
1997-04-21,255.138715
1997-04-22,254.33292
1997-04-23,256.436129
1997-04-24,254.82949
1997-04-25,254.41809
1997-04-28,253.464648
1997-04-29,252.283448
1997-04-30,253.715271
1997-05-01,253.677469
1997-05-02,253.066901
1997-05-05,253.593882
1997-05-06,253.983942
1997-05-07,255.327492
1997-05-08,255.563342
1997-05-09,257.110385
1997-05-12,254.883199
1997-05-13,253.409809
1997-05-14,253.289227
1997-05-15,251.781978
1997-05-16,252.173241
1997-05-19,252.636337
1997-05-20,252.397187
1997-05-21,253.624856
1997-05-22,254.01153
1997-05-23,253.970489
1997-05-26,254.552322
1997-05-27,254.522206
1997-05-28,255.93871
1997-05-29,257.060207
1997-05-30,258.933619
1997-06-02,261.857685
1997-06-03,264.359107
1997-06-04,266.018003
1997-06-05,265.605001
1997-06-06,266.721174
1997-06-09,267.309075
1997-06-10,266.84997
1997-06-11,266.736406
1997-06-12,268.004986
1997-06-13,267.778796
1997-06-16,270.655152
1997-06-17,271.463071
1997-06-18,272.481053
1997-06-19,274.137791
1997-06-20,275.448416
1997-06-23,277.646858
1997-06-24,277.010707
1997-06-25,278.258953
1997-06-26,278.822984
1997-06-27,280.460445
1997-06-30,283.282783
1997-07-01,284.173037
1997-07-02,283.149163
1997-07-03,283.913877
1997-07-04,284.619046
1997-07-07,285.280395
1997-07-08,285.329039
1997-07-09,286.041384
1997-07-10,285.550129
1997-07-11,284.759801
1997-07-14,284.573253
1997-07-15,283.085592
1997-07-16,284.325058
1997-07-17,283.782455
1997-07-18,282.583674
1997-07-21,281.374718
1997-07-22,280.322342
1997-07-23,281.633289
1997-07-24,283.873014
1997-07-25,284.990728
1997-07-28,285.662052
1997-07-29,284.682792
1997-07-30,284.19552
1997-07-31,284.713336
1997-08-01,282.709189
1997-08-04,285.583653
1997-08-05,284.636193
1997-08-06,286.392553
1997-08-07,284.232563
1997-08-08,284.035138
1997-08-11,279.689726
