Date,MSCI Emerging Markets Quality Factor Select Index
2000-05-31,1000.0
2000-06-01,1008.056136
2000-06-02,1040.194242
2000-06-05,1041.607649
2000-06-06,1032.353129
2000-06-07,1036.013506
2000-06-08,1033.497269
2000-06-09,1039.687821
2000-06-12,1033.629776
2000-06-13,1029.339678
2000-06-14,1028.040657
2000-06-15,1019.652318
2000-06-16,1018.317197
2000-06-19,1022.02088
2000-06-20,1021.851555
2000-06-21,1019.717083
2000-06-22,1014.039283
2000-06-23,1006.708222
2000-06-26,1003.125859
2000-06-27,1006.764873
2000-06-28,1010.146042
2000-06-29,1001.355839
2000-06-30,1015.704462
2000-07-03,1024.209324
2000-07-04,1023.603372
2000-07-05,1030.794466
2000-07-06,1025.703552
2000-07-07,1028.869442
2000-07-10,1035.413761
2000-07-11,1025.812712
2000-07-12,1035.242709
2000-07-13,1034.451873
2000-07-14,1039.13613
2000-07-17,1038.969529
2000-07-18,1028.137539
2000-07-19,1011.254938
2000-07-20,1010.09644
2000-07-21,1014.017763
2000-07-24,997.490506
2000-07-25,995.131688
2000-07-26,992.589661
2000-07-27,986.763489
2000-07-28,971.203405
2000-07-31,975.663114
2000-08-01,977.660134
2000-08-02,978.387698
2000-08-03,974.006796
2000-08-04,979.376233
2000-08-07,970.513414
2000-08-08,974.949757
2000-08-09,979.972127
2000-08-10,983.313729
2000-08-11,984.219161
2000-08-14,992.898942
2000-08-15,991.356072
2000-08-16,998.665258
2000-08-17,1000.174637
2000-08-18,994.255022
2000-08-21,992.030683
2000-08-22,995.007064
2000-08-23,992.048744
2000-08-24,990.667493
2000-08-25,988.540899
2000-08-28,986.063004
2000-08-29,993.012262
2000-08-30,985.930769
2000-08-31,988.63178
2000-09-01,990.805363
2000-09-04,1001.130528
2000-09-05,1000.575235
2000-09-06,991.442293
2000-09-07,986.468322
2000-09-08,977.267931
2000-09-11,965.901029
2000-09-12,959.921159
2000-09-13,964.487114
2000-09-14,962.637103
2000-09-15,954.406144
2000-09-18,920.89069
2000-09-19,913.949959
2000-09-20,923.183214
2000-09-21,913.627009
2000-09-22,892.423193
2000-09-25,911.147153
2000-09-26,910.065106
2000-09-27,909.586934
2000-09-28,911.401607
2000-09-29,913.508904
2000-10-02,903.565694
2000-10-03,905.953523
2000-10-04,898.549232
2000-10-05,902.63405
2000-10-06,906.332489
2000-10-09,892.444283
2000-10-10,887.057998
2000-10-11,865.944102
2000-10-12,845.824916
2000-10-13,842.38059
2000-10-16,851.739399
2000-10-17,846.67192
2000-10-18,832.686714
2000-10-19,842.851218
2000-10-20,860.748933
2000-10-23,863.071178
2000-10-24,873.317395
2000-10-25,866.471298
2000-10-26,859.259362
2000-10-27,863.053563
2000-10-30,851.930634
2000-10-31,864.031281
2000-11-01,874.235691
2000-11-02,888.901051
2000-11-03,893.670427
2000-11-06,896.28828
2000-11-07,904.779473
2000-11-08,899.313349
2000-11-09,888.471682
2000-11-10,880.035684
2000-11-13,852.986382
2000-11-14,867.722437
2000-11-15,868.859288
2000-11-16,855.468268
2000-11-17,852.915462
2000-11-20,826.459341
2000-11-21,832.244568
2000-11-22,812.50211
2000-11-23,805.323266
2000-11-24,820.260523
2000-11-27,828.787798
2000-11-28,814.386697
2000-11-29,806.535355
2000-11-30,788.962896
2000-12-01,792.503073
2000-12-04,788.122029
2000-12-05,817.969142
2000-12-06,836.3032
2000-12-07,831.55108
2000-12-08,849.734027
2000-12-11,856.367469
2000-12-12,850.874359
2000-12-13,850.441602
2000-12-14,844.295328
2000-12-15,828.277941
2000-12-18,834.665975
2000-12-19,828.962159
2000-12-20,811.429513
2000-12-21,802.706364
2000-12-22,813.013583
2000-12-25,813.632781
2000-12-26,808.975178
2000-12-27,809.903849
2000-12-28,819.353774
2000-12-29,818.98893
2001-01-01,817.357957
2001-01-02,815.331059
2001-01-03,824.331435
2001-01-04,853.939944
2001-01-05,853.571426
2001-01-08,852.843172
2001-01-09,861.645693
2001-01-10,859.931586
2001-01-11,861.944718
2001-01-12,869.155536
2001-01-15,867.427227
2001-01-16,871.556345
2001-01-17,880.954086
2001-01-18,894.123482
2001-01-19,907.763582
2001-01-22,906.610968
2001-01-23,911.06192
2001-01-24,909.553537
2001-01-25,908.860486
2001-01-26,904.616741
2001-01-29,903.542345
2001-01-30,913.714111
2001-01-31,925.513985
2001-02-01,920.061832
2001-02-02,917.131305
2001-02-05,902.329106
2001-02-06,905.40548
2001-02-07,887.63962
2001-02-08,892.048642
2001-02-09,891.496156
2001-02-12,893.092226
2001-02-13,896.517907
2001-02-14,896.111537
2001-02-15,907.409742
2001-02-16,898.067124
2001-02-19,888.689841
2001-02-20,893.40027
2001-02-21,866.7165
2001-02-22,845.880542
2001-02-23,837.979289
2001-02-26,849.448499
2001-02-27,846.326806
2001-02-28,842.732435
2001-03-01,842.530742
2001-03-02,834.413825
2001-03-05,837.880713
2001-03-06,846.328844
2001-03-07,849.801545
2001-03-08,852.811899
2001-03-09,842.994954
2001-03-12,814.532382
2001-03-13,807.56866
2001-03-14,801.328869
2001-03-15,800.227064
2001-03-16,794.758019
2001-03-19,788.822134
2001-03-20,791.169386
2001-03-21,790.205051
2001-03-22,778.498011
2001-03-23,783.463786
2001-03-26,792.412891
2001-03-27,791.723572
2001-03-28,782.789254
2001-03-29,767.059296
2001-03-30,767.867667
2001-04-02,755.218749
2001-04-03,737.145908
2001-04-04,731.64838
2001-04-05,745.85837
2001-04-06,751.47033
2001-04-09,749.233679
2001-04-10,756.889253
2001-04-11,764.731011
2001-04-12,768.928023
2001-04-13,769.787176
2001-04-16,763.770456
2001-04-17,765.645816
2001-04-18,790.390364
2001-04-19,805.982431
2001-04-20,795.085489
2001-04-23,792.915917
2001-04-24,792.930277
2001-04-25,792.598429
2001-04-26,798.51658
2001-04-27,804.474928
2001-04-30,815.333942
2001-05-01,815.620045
2001-05-02,823.240984
2001-05-03,823.923906
2001-05-04,821.307157
2001-05-07,821.447153
2001-05-08,820.267228
2001-05-09,818.359986
2001-05-10,816.769662
2001-05-11,813.79117
2001-05-14,805.698908
2001-05-15,800.732271
2001-05-16,805.375718
2001-05-17,824.96041
2001-05-18,830.286825
2001-05-21,835.929048
2001-05-22,838.932851
2001-05-23,839.494332
2001-05-24,834.665708
2001-05-25,833.810251
2001-05-28,835.148597
2001-05-29,830.784699
2001-05-30,823.019206
2001-05-31,822.719344
2001-06-01,820.688666
2001-06-04,821.220647
2001-06-05,815.294638
2001-06-06,820.025323
2001-06-07,821.538853
2001-06-08,828.10017
2001-06-11,820.845035
2001-06-12,819.705503
2001-06-13,817.762369
2001-06-14,815.809077
2001-06-15,812.390652
2001-06-18,799.06817
2001-06-19,799.576032
2001-06-20,797.690812
2001-06-21,804.194888
2001-06-22,806.768518
2001-06-25,801.519383
2001-06-26,801.948718
2001-06-27,802.973576
2001-06-28,798.417313
2001-06-29,807.282068
2001-07-02,811.951707
2001-07-03,803.907388
2001-07-04,796.836984
2001-07-05,793.913326
2001-07-06,781.834523
2001-07-09,779.939125
2001-07-10,775.211303
2001-07-11,758.926102
2001-07-12,765.076173
2001-07-13,761.085389
2001-07-16,754.477631
2001-07-17,754.982425
2001-07-18,750.509158
2001-07-19,754.841243
2001-07-20,753.026407
2001-07-23,752.040693
2001-07-24,748.323912
2001-07-25,750.311699
2001-07-26,756.255008
2001-07-27,759.13521
2001-07-30,761.891583
2001-07-31,765.608971
2001-08-01,770.558064
2001-08-02,780.438073
2001-08-03,780.062103
2001-08-06,772.535754
2001-08-07,766.825734
2001-08-08,766.312934
2001-08-09,760.758385
2001-08-10,763.486099
2001-08-13,766.784352
2001-08-14,774.369374
2001-08-15,773.400378
2001-08-16,771.51189
2001-08-17,758.552628
2001-08-20,750.243581
2001-08-21,751.07319
2001-08-22,751.148438
2001-08-23,751.474505
2001-08-24,753.006787
2001-08-27,763.606636
2001-08-28,762.951168
2001-08-29,763.07138
2001-08-30,759.765895
2001-08-31,755.489041
2001-09-03,750.028734
2001-09-04,755.300691
2001-09-05,750.528788
2001-09-06,741.106295
2001-09-07,740.547138
2001-09-10,736.702344
2001-09-11,714.231296
2001-09-12,698.872994
2001-09-13,689.714605
2001-09-14,675.83838
2001-09-17,663.81735
2001-09-18,669.478855
2001-09-19,671.306551
2001-09-20,654.53248
2001-09-21,637.057165
2001-09-24,644.971777
2001-09-25,644.933352
2001-09-26,645.057964
2001-09-27,644.936314
2001-09-28,652.447405
2001-10-01,647.039414
2001-10-02,643.726824
2001-10-03,641.60648
2001-10-04,654.875642
2001-10-05,657.920762
2001-10-08,650.718162
2001-10-09,662.030321
2001-10-10,670.708768
2001-10-11,689.497259
2001-10-12,686.065077
2001-10-15,683.078576
2001-10-16,688.545842
2001-10-17,692.794142
2001-10-18,687.511361
2001-10-19,688.811381
2001-10-22,688.018075
2001-10-23,694.627443
2001-10-24,703.862763
2001-10-25,702.593851
2001-10-26,706.965284
2001-10-29,706.40148
2001-10-30,693.546214
2001-10-31,696.235248
2001-11-01,701.472544
2001-11-02,705.746179
2001-11-05,716.342159
2001-11-06,716.70119
2001-11-07,712.973491
2001-11-08,721.339685
2001-11-09,722.066169
2001-11-12,719.497446
2001-11-13,725.644059
2001-11-14,734.803181
2001-11-15,741.913946
2001-11-16,743.172825
2001-11-19,757.361074
2001-11-20,745.902364
2001-11-21,743.763007
2001-11-22,747.830898
2001-11-23,755.384702
2001-11-26,767.005612
2001-11-27,764.346622
2001-11-28,749.425482
2001-11-29,743.864457
2001-11-30,746.051203
2001-12-03,756.087432
2001-12-04,764.273953
2001-12-05,787.058756
2001-12-06,795.496291
2001-12-07,798.042367
2001-12-10,791.803368
2001-12-11,788.513053
2001-12-12,798.581563
2001-12-13,782.607861
2001-12-14,776.35165
2001-12-17,777.687185
2001-12-18,779.119161
2001-12-19,779.405539
2001-12-20,776.186247
2001-12-21,773.368336
2001-12-24,776.625612
