Date,MSCI Europe Quality Index
1997-01-31,317.171073
1997-02-03,316.710391
1997-02-04,317.520824
1997-02-05,319.702033
1997-02-06,319.241881
1997-02-07,319.622807
1997-02-10,322.647247
1997-02-11,323.239903
1997-02-12,321.659431
1997-02-13,321.288652
1997-02-14,321.87626
1997-02-17,321.225323
1997-02-18,320.146316
1997-02-19,322.312455
1997-02-20,322.619514
1997-02-21,323.502648
1997-02-24,324.377155
1997-02-25,326.503399
1997-02-26,325.175648
1997-02-27,324.596238
1997-02-28,321.982532
1997-03-03,319.953026
1997-03-04,322.910318
1997-03-05,322.416282
1997-03-06,325.458511
1997-03-07,326.641902
1997-03-10,329.740889
1997-03-11,329.620617
1997-03-12,326.74746
1997-03-13,325.015014
1997-03-14,327.128359
1997-03-17,323.239612
1997-03-18,322.799407
1997-03-19,323.420185
1997-03-20,317.318063
1997-03-21,320.138053
1997-03-24,319.000017
1997-03-25,323.143203
1997-03-26,326.929792
1997-03-27,330.314558
1997-03-28,330.784366
1997-03-31,332.145565
1997-04-01,323.884238
1997-04-02,322.82685
1997-04-03,320.952003
1997-04-04,321.921403
1997-04-07,323.247353
1997-04-08,322.563847
1997-04-09,324.482518
1997-04-10,325.300209
1997-04-11,322.797915
1997-04-14,321.122282
1997-04-15,324.167574
1997-04-16,324.465219
1997-04-17,326.328691
1997-04-18,327.67173
1997-04-21,330.206931
1997-04-22,330.798504
1997-04-23,331.484908
1997-04-24,331.975074
1997-04-25,328.854157
1997-04-28,329.515277
1997-04-29,334.496251
1997-04-30,334.755097
1997-05-01,336.894837
1997-05-02,336.936532
1997-05-05,339.236227
1997-05-06,344.019777
1997-05-07,344.915869
1997-05-08,344.468267
1997-05-09,347.018348
1997-05-12,349.575994
1997-05-13,352.32472
1997-05-14,354.377917
1997-05-15,354.164342
1997-05-16,354.57554
1997-05-19,351.798366
1997-05-20,352.133437
1997-05-21,356.339583
1997-05-22,354.277908
1997-05-23,354.720094
1997-05-26,355.693559
1997-05-27,353.915869
1997-05-28,352.221583
1997-05-29,352.089597
1997-05-30,346.298845
1997-06-02,346.290467
1997-06-03,347.092343
1997-06-04,346.238151
1997-06-05,347.348682
1997-06-06,350.534594
1997-06-09,355.041133
1997-06-10,357.282997
1997-06-11,357.325217
1997-06-12,359.821634
1997-06-13,361.171743
1997-06-16,361.268395
1997-06-17,357.883327
1997-06-18,358.141066
1997-06-19,360.536491
1997-06-20,360.303304
1997-06-23,362.788108
1997-06-24,363.120622
1997-06-25,366.861953
1997-06-26,367.840368
1997-06-27,365.923263
1997-06-30,363.546484
1997-07-01,368.654567
1997-07-02,368.626168
