Date,MSCI USA Enhanced Value Capped Index
1997-11-28,1000.0
1997-12-01,1021.33666
1997-12-02,1019.264388
1997-12-03,1024.289201
1997-12-04,1022.596646
1997-12-05,1033.479611
1997-12-08,1034.237168
1997-12-09,1027.416982
1997-12-10,1019.306867
1997-12-11,1000.880554
1997-12-12,998.409907
1997-12-15,1008.770642
1997-12-16,1012.18187
1997-12-17,1010.374323
1997-12-18,996.457748
1997-12-19,989.593035
1997-12-22,994.941179
1997-12-23,980.968109
1997-12-24,975.791028
1997-12-25,975.791028
1997-12-26,978.021693
1997-12-29,990.90202
1997-12-30,1006.717437
1997-12-31,1011.455619
1998-01-01,1011.455619
1998-01-02,1015.766146
1998-01-05,1017.302115
1998-01-06,1007.750155
1998-01-07,1009.27868
1998-01-08,996.926619
1998-01-09,968.649957
1998-01-12,978.60551
1998-01-13,991.478047
1998-01-14,994.329839
1998-01-15,988.209912
1998-01-16,995.516434
1998-01-19,995.516434
1998-01-20,1005.325859
1998-01-21,997.343197
1998-01-22,988.96509
1998-01-23,981.329011
1998-01-26,982.480103
1998-01-27,989.20614
1998-01-28,994.543027
1998-01-29,1002.809246
1998-01-30,996.551647
1998-02-02,1017.510095
1998-02-03,1026.439709
1998-02-04,1028.059485
1998-02-05,1027.605735
1998-02-06,1034.165876
1998-02-09,1039.973031
1998-02-10,1044.771576
1998-02-11,1044.093778
1998-02-12,1048.540792
1998-02-13,1045.59471
1998-02-16,1045.59471
1998-02-17,1050.665017
1998-02-18,1056.709539
1998-02-19,1053.379651
1998-02-20,1057.527127
1998-02-23,1058.565558
1998-02-24,1053.036037
1998-02-25,1065.435952
1998-02-26,1070.327608
1998-02-27,1073.566745
1998-03-02,1073.940863
1998-03-03,1077.966628
1998-03-04,1074.478814
1998-03-05,1059.930971
1998-03-06,1081.018774
1998-03-09,1074.720562
1998-03-10,1084.559368
1998-03-11,1091.156743
1998-03-12,1095.675782
1998-03-13,1094.404505
1998-03-16,1105.798538
1998-03-17,1107.252
1998-03-18,1112.055348
1998-03-19,1113.757287
1998-03-20,1123.518374
1998-03-23,1114.909847
1998-03-24,1123.120239
1998-03-25,1120.714636
1998-03-26,1116.755337
1998-03-27,1113.797381
1998-03-30,1111.631823
1998-03-31,1117.390377
1998-04-01,1115.883485
1998-04-02,1124.631317
1998-04-03,1124.408723
1998-04-06,1128.709102
1998-04-07,1112.952369
1998-04-08,1109.34325
1998-04-09,1119.667833
1998-04-10,1119.667833
1998-04-13,1120.672934
1998-04-14,1133.645403
1998-04-15,1142.245622
1998-04-16,1133.923545
1998-04-17,1141.654739
1998-04-20,1140.393122
1998-04-21,1143.252967
1998-04-22,1144.54535
1998-04-23,1131.944442
1998-04-24,1121.631721
1998-04-27,1098.120029
1998-04-28,1098.229123
1998-04-29,1103.567216
1998-04-30,1116.846828
1998-05-01,1128.031312
1998-05-04,1131.610205
1998-05-05,1126.622735
1998-05-06,1122.289164
1998-05-07,1119.800263
1998-05-08,1130.23588
1998-05-11,1126.512289
1998-05-12,1131.034486
1998-05-13,1134.170146
1998-05-14,1131.894612
1998-05-15,1122.890341
1998-05-18,1116.25947
1998-05-19,1115.990678
1998-05-20,1122.735181
1998-05-21,1123.981117
1998-05-22,1121.753084
1998-05-25,1121.753084
1998-05-26,1109.012289
1998-05-27,1099.916283
1998-05-28,1108.376633
1998-05-29,1102.414438
1998-06-01,1100.141364
1998-06-02,1101.131576
1998-06-03,1091.705018
1998-06-04,1096.812642
1998-06-05,1115.290103
1998-06-08,1119.163187
1998-06-09,1124.726379
1998-06-10,1114.130226
1998-06-11,1097.478825
1998-06-12,1094.676397
1998-06-15,1073.062158
1998-06-16,1079.353126
1998-06-17,1096.377047
1998-06-18,1091.938482
1998-06-19,1084.805181
1998-06-22,1089.122947
1998-06-23,1096.355974
1998-06-24,1101.886691
1998-06-25,1101.274233
1998-06-26,1105.285955
1998-06-29,1109.253376
1998-06-30,1102.692334
1998-07-01,1120.873825
1998-07-02,1118.378292
1998-07-03,1118.378292
1998-07-06,1126.413421
1998-07-07,1125.345412
1998-07-08,1132.718862
1998-07-09,1127.98764
1998-07-10,1128.600535
1998-07-13,1125.842392
1998-07-14,1137.943738
1998-07-15,1131.456001
1998-07-16,1136.607043
1998-07-17,1135.182668
1998-07-20,1130.913537
1998-07-21,1118.973882
1998-07-22,1125.160769
1998-07-23,1109.787061
1998-07-24,1106.173239
1998-07-27,1111.696536
1998-07-28,1100.971813
1998-07-29,1104.178178
1998-07-30,1111.967657
1998-07-31,1101.008237
1998-08-03,1092.930594
1998-08-04,1058.036212
1998-08-05,1066.323547
1998-08-06,1066.968153
1998-08-07,1068.492062
1998-08-10,1061.77008
1998-08-11,1046.256522
1998-08-12,1060.467325
1998-08-13,1049.239234
1998-08-14,1042.995078
1998-08-17,1060.726976
1998-08-18,1074.811099
1998-08-19,1069.282248
1998-08-20,1061.893755
1998-08-21,1049.160862
1998-08-24,1053.310074
1998-08-25,1052.757482
1998-08-26,1038.703016
1998-08-27,996.266011
1998-08-28,988.485391
1998-08-31,940.55807
1998-09-01,970.557041
1998-09-02,967.662923
1998-09-03,960.591659
1998-09-04,953.901614
1998-09-07,953.901614
1998-09-08,993.307715
1998-09-09,982.820102
1998-09-10,961.498371
1998-09-11,986.173266
1998-09-14,1013.421239
1998-09-15,1023.856991
1998-09-16,1032.933642
1998-09-17,1011.412234
1998-09-18,1018.88196
1998-09-21,1024.04513
1998-09-22,1029.874556
1998-09-23,1059.603906
1998-09-24,1037.805816
1998-09-25,1039.965102
1998-09-28,1042.900355
1998-09-29,1040.731907
1998-09-30,1007.661461
1998-10-01,982.775313
1998-10-02,1001.500414
1998-10-05,986.698271
1998-10-06,986.235055
1998-10-07,976.447189
1998-10-08,965.824835
1998-10-09,986.348992
1998-10-12,995.873471
1998-10-13,991.16518
1998-10-14,996.401184
1998-10-15,1032.077125
1998-10-16,1038.484185
1998-10-19,1046.959644
1998-10-20,1057.667942
1998-10-21,1059.427917
1998-10-22,1063.097388
1998-10-23,1056.904987
1998-10-26,1057.134686
1998-10-27,1056.273065
1998-10-28,1059.552881
1998-10-29,1077.922566
1998-10-30,1091.450909
1998-11-02,1107.236005
1998-11-03,1111.168758
1998-11-04,1126.377401
1998-11-05,1140.255989
1998-11-06,1141.479617
1998-11-09,1131.007133
1998-11-10,1127.512727
1998-11-11,1126.34158
1998-11-12,1124.60873
1998-11-13,1135.253457
1998-11-16,1144.277926
1998-11-17,1149.018834
1998-11-18,1152.466886
1998-11-19,1157.240545
1998-11-20,1166.686327
1998-11-23,1193.701732
1998-11-24,1191.206943
1998-11-25,1193.350085
1998-11-26,1193.350085
1998-11-27,1195.795045
1998-11-30,1168.552728
1998-12-01,1181.261097
1998-12-02,1183.890927
1998-12-03,1164.598304
1998-12-04,1184.119117
1998-12-07,1193.523794
1998-12-08,1186.232382
1998-12-09,1179.574694
1998-12-10,1159.113449
1998-12-11,1156.143507
1998-12-14,1129.139417
1998-12-15,1140.820607
1998-12-16,1144.116441
1998-12-17,1164.454845
1998-12-18,1167.542051
1998-12-21,1180.966697
1998-12-22,1178.017657
1998-12-23,1195.160007
1998-12-24,1195.830003
1998-12-25,1195.830003
1998-12-28,1191.845524
1998-12-29,1201.775868
1998-12-30,1201.546348
1998-12-31,1194.992258
1999-01-01,1194.992258
1999-01-04,1196.785274
1999-01-05,1215.370051
1999-01-06,1246.787198
1999-01-07,1250.290117
1999-01-08,1265.508137
1999-01-11,1270.428335
1999-01-12,1244.632495
1999-01-13,1238.922062
1999-01-14,1208.439999
1999-01-15,1231.408764
1999-01-18,1231.408764
1999-01-19,1237.17518
1999-01-20,1228.304383
1999-01-21,1210.307901
1999-01-22,1197.964297
1999-01-25,1199.398081
1999-01-26,1210.939186
1999-01-27,1189.816249
1999-01-28,1207.801994
1999-01-29,1223.079954
1999-02-01,1217.726553
1999-02-02,1198.647396
1999-02-03,1210.130132
1999-02-04,1192.07969
1999-02-05,1183.818595
1999-02-08,1186.573604
1999-02-09,1162.41065
1999-02-10,1165.038895
1999-02-11,1183.616915
1999-02-12,1163.859598
1999-02-15,1163.859598
1999-02-16,1169.137777
1999-02-17,1153.845161
1999-02-18,1168.299312
1999-02-19,1169.381883
1999-02-22,1201.358706
1999-02-23,1196.375397
1999-02-24,1186.805612
1999-02-25,1177.48215
1999-02-26,1162.326797
1999-03-01,1162.407797
1999-03-02,1162.221417
1999-03-03,1164.722323
1999-03-04,1170.411928
1999-03-05,1195.825362
1999-03-08,1196.664833
1999-03-09,1191.862626
1999-03-10,1198.875362
1999-03-11,1206.047916
1999-03-12,1202.676963
1999-03-15,1214.085624
1999-03-16,1214.61788
1999-03-17,1209.652475
1999-03-18,1230.156629
1999-03-19,1209.860318
1999-03-22,1210.222599
1999-03-23,1179.576488
1999-03-24,1187.071707
1999-03-25,1199.831157
1999-03-26,1196.602503
1999-03-29,1217.06683
1999-03-30,1206.245911
1999-03-31,1193.841231
1999-04-01,1196.237797
1999-04-02,1196.237797
1999-04-05,1219.95758
1999-04-06,1215.084298
1999-04-07,1220.865455
1999-04-08,1223.153317
1999-04-09,1228.828581
1999-04-12,1233.55578
1999-04-13,1228.405664
1999-04-14,1232.541639
1999-04-15,1240.924513
1999-04-16,1249.169221
1999-04-19,1249.033656
1999-04-20,1252.315131
1999-04-21,1274.416582
1999-04-22,1288.016669
1999-04-23,1288.486006
1999-04-26,1288.395341
1999-04-27,1297.213222
1999-04-28,1302.984416
1999-04-29,1304.229687
1999-04-30,1297.728542
1999-05-03,1334.313517
1999-05-04,1324.586261
1999-05-05,1341.970735
1999-05-06,1329.593511
1999-05-07,1343.349958
1999-05-10,1346.27896
1999-05-11,1351.039847
1999-05-12,1358.476446
1999-05-13,1369.77014
1999-05-14,1340.881733
1999-05-17,1338.038033
1999-05-18,1336.301998
1999-05-19,1346.913466
1999-05-20,1346.401857
1999-05-21,1346.640474
1999-05-24,1325.114543
1999-05-25,1307.103424
1999-05-26,1319.380271
1999-05-27,1293.509227
1999-05-28,1306.210311
1999-05-31,1306.210311
1999-06-01,1301.044948
1999-06-02,1307.409348
1999-06-03,1310.412131
1999-06-04,1324.522885
1999-06-07,1338.486478
1999-06-08,1324.341056
1999-06-09,1325.945022
1999-06-10,1328.137629
1999-06-11,1321.188489
1999-06-14,1325.097357
1999-06-15,1332.1127
1999-06-16,1353.25924
1999-06-17,1347.525944
1999-06-18,1346.347755
1999-06-21,1349.787447
1999-06-22,1332.862308
1999-06-23,1326.426888
1999-06-24,1302.746385
1999-06-25,1306.134608
1999-06-28,1325.065772
1999-06-29,1336.726623
1999-06-30,1347.508528
1999-07-01,1359.376345
1999-07-02,1370.64196
1999-07-05,1370.64196
1999-07-06,1367.695896
1999-07-07,1362.512411
1999-07-08,1370.825247
1999-07-09,1374.366032
1999-07-12,1372.998769
1999-07-13,1363.241491
1999-07-14,1369.671647
1999-07-15,1381.071991
1999-07-16,1386.792489
1999-07-19,1383.217474
1999-07-20,1359.386593
1999-07-21,1356.95769
1999-07-22,1342.058203
1999-07-23,1342.107783
1999-07-26,1339.734686
1999-07-27,1356.147604
1999-07-28,1357.808382
1999-07-29,1335.963351
1999-07-30,1322.849843
1999-08-02,1334.076041
1999-08-03,1328.656634
1999-08-04,1317.708993
1999-08-05,1323.449731
1999-08-06,1312.336904
1999-08-09,1320.233266
1999-08-10,1297.207825
1999-08-11,1318.658531
1999-08-12,1311.632733
1999-08-13,1337.0057
1999-08-16,1338.095252
1999-08-17,1343.74358
1999-08-18,1331.4897
1999-08-19,1323.365821
1999-08-20,1336.244104
1999-08-23,1357.133661
1999-08-24,1358.517172
1999-08-25,1363.521962
1999-08-26,1345.493966
1999-08-27,1342.561342
1999-08-30,1319.785776
1999-08-31,1315.410635
1999-09-01,1328.785624
1999-09-02,1317.950889
1999-09-03,1360.483923
1999-09-06,1360.483923
1999-09-07,1349.229465
1999-09-08,1340.788853
1999-09-09,1346.397827
1999-09-10,1340.105282
1999-09-13,1325.672762
1999-09-14,1320.180691
1999-09-15,1303.485241
1999-09-16,1297.252223
1999-09-17,1303.854601
1999-09-20,1298.976464
1999-09-21,1267.447182
1999-09-22,1265.042733
1999-09-23,1238.645434
1999-09-24,1230.484392
1999-09-27,1236.962884
1999-09-28,1227.202862
1999-09-29,1214.460997
1999-09-30,1207.223502
1999-10-01,1200.221634
1999-10-04,1217.044355
1999-10-05,1212.280775
1999-10-06,1227.948747
1999-10-07,1216.232631
1999-10-08,1221.779405
1999-10-11,1221.565704
1999-10-12,1204.996623
1999-10-13,1178.269167
1999-10-14,1182.561814
1999-10-15,1151.108642
1999-10-18,1150.556541
1999-10-19,1137.605242
1999-10-20,1150.630293
1999-10-21,1144.018169
1999-10-22,1168.686733
1999-10-25,1164.392914
1999-10-26,1156.540288
1999-10-27,1164.199626
1999-10-28,1205.405132
1999-10-29,1235.550527
1999-11-01,1226.425673
1999-11-02,1232.272723
1999-11-03,1240.388208
1999-11-04,1249.01065
1999-11-05,1262.435897
1999-11-08,1272.479957
1999-11-09,1257.881411
1999-11-10,1255.078923
1999-11-11,1254.045518
1999-11-12,1264.340725
1999-11-15,1262.247555
1999-11-16,1282.281613
1999-11-17,1274.621137
1999-11-18,1291.882114
1999-11-19,1286.704851
1999-11-22,1286.288597
1999-11-23,1268.395088
1999-11-24,1275.153394
1999-11-25,1275.153394
1999-11-26,1271.12196
1999-11-29,1264.854828
1999-11-30,1257.625233
1999-12-01,1260.837668
1999-12-02,1269.912811
1999-12-03,1297.356002
1999-12-06,1288.416669
1999-12-07,1271.941346
1999-12-08,1262.403233
1999-12-09,1255.166838
1999-12-10,1253.24904
1999-12-13,1248.904595
1999-12-14,1237.522246
1999-12-15,1247.299995
1999-12-16,1253.850174
1999-12-17,1253.103512
1999-12-20,1249.362508
1999-12-21,1255.032823
1999-12-22,1258.573658
1999-12-23,1281.325949
1999-12-24,1281.325949
1999-12-27,1266.30445
1999-12-28,1274.054771
1999-12-29,1285.495317
1999-12-30,1291.926571
1999-12-31,1292.310105
2000-01-03,1293.653304
2000-01-04,1248.755025
2000-01-05,1251.185792
2000-01-06,1249.73967
2000-01-07,1283.577262
2000-01-10,1296.93379
2000-01-11,1288.631702
2000-01-12,1296.089088
2000-01-13,1306.120092
2000-01-14,1331.257113
2000-01-17,1331.257113
2000-01-18,1320.850167
2000-01-19,1316.763305
2000-01-20,1297.576175
2000-01-21,1295.919427
2000-01-24,1277.135755
2000-01-25,1270.64729
2000-01-26,1260.731675
2000-01-27,1259.911649
2000-01-28,1230.115213
2000-01-31,1256.52503
2000-02-01,1267.337847
2000-02-02,1268.520354
2000-02-03,1283.293174
2000-02-04,1286.360279
2000-02-07,1295.03344
2000-02-08,1285.080915
2000-02-09,1260.99215
2000-02-10,1263.127362
2000-02-11,1237.825501
2000-02-14,1244.726728
2000-02-15,1258.596249
2000-02-16,1255.89286
2000-02-17,1261.127408
2000-02-18,1225.874906
2000-02-21,1225.874906
2000-02-22,1235.406083
2000-02-23,1228.852908
2000-02-24,1226.147408
2000-02-25,1210.072019
2000-02-28,1221.896952
2000-02-29,1238.407616
2000-03-01,1261.758578
2000-03-02,1261.889835
2000-03-03,1287.128658
2000-03-06,1275.775581
2000-03-07,1249.228126
2000-03-08,1249.415658
2000-03-09,1270.941221
2000-03-10,1275.531561
2000-03-13,1274.76692
2000-03-14,1246.195573
2000-03-15,1269.866075
2000-03-16,1326.601811
2000-03-17,1330.430659
2000-03-20,1338.510196
2000-03-21,1366.769002
2000-03-22,1379.840586
2000-03-23,1393.692437
2000-03-24,1394.422606
2000-03-27,1403.173077
2000-03-28,1382.080388
2000-03-29,1365.95956
2000-03-30,1362.770636
2000-03-31,1379.038917
2000-04-03,1398.154249
2000-04-04,1393.62657
2000-04-05,1403.386164
2000-04-06,1420.307404
2000-04-07,1429.056935
2000-04-10,1416.46723
2000-04-11,1417.680702
2000-04-12,1395.703924
2000-04-13,1382.945104
2000-04-14,1294.575159
2000-04-17,1344.910642
2000-04-18,1376.628641
2000-04-19,1349.646939
2000-04-20,1357.141053
2000-04-21,1357.141053
2000-04-24,1360.736298
2000-04-25,1411.145921
2000-04-26,1397.001416
2000-04-27,1398.578979
2000-04-28,1394.103203
2000-05-01,1404.548902
2000-05-02,1377.932878
2000-05-03,1348.102482
2000-05-04,1345.204961
2000-05-05,1363.796895
2000-05-08,1362.308945
2000-05-09,1354.801141
2000-05-10,1316.252977
2000-05-11,1347.202425
2000-05-12,1362.474082
2000-05-15,1388.227726
2000-05-16,1412.448051
2000-05-17,1394.64139
2000-05-18,1398.993055
2000-05-19,1368.495328
2000-05-22,1357.596954
2000-05-23,1339.968676
2000-05-24,1370.407029
2000-05-25,1346.07016
2000-05-26,1344.664934
2000-05-29,1344.664934
2000-05-30,1379.449497
2000-05-31,1371.795349
2000-06-01,1404.754454
2000-06-02,1427.987489
2000-06-05,1425.776551
2000-06-06,1408.676458
2000-06-07,1420.492675
2000-06-08,1408.756778
2000-06-09,1409.48138
2000-06-12,1408.388397
2000-06-13,1414.780068
2000-06-14,1398.253459
2000-06-15,1390.614912
2000-06-16,1357.618583
2000-06-19,1382.335316
2000-06-20,1373.92934
2000-06-21,1374.391433
2000-06-22,1354.826315
2000-06-23,1351.052195
2000-06-26,1356.831069
2000-06-27,1349.469548
2000-06-28,1354.197423
2000-06-29,1357.321028
2000-06-30,1333.530117
2000-07-03,1365.798416
2000-07-04,1365.798416
2000-07-05,1350.511432
2000-07-06,1363.633047
2000-07-07,1380.840119
2000-07-10,1381.380889
2000-07-11,1385.346819
2000-07-12,1399.517103
2000-07-13,1401.701783
2000-07-14,1409.315114
2000-07-17,1403.97225
2000-07-18,1387.25439
2000-07-19,1374.437779
2000-07-20,1392.203611
2000-07-21,1372.421341
2000-07-24,1360.420109
2000-07-25,1366.368339
2000-07-26,1343.816971
2000-07-27,1345.69039
2000-07-28,1329.055773
2000-07-31,1343.16749
2000-08-01,1352.208048
2000-08-02,1352.950934
