Date,MSCI USA Enhanced Value Index
1997-11-28,256.020217
1997-12-01,261.482833
1997-12-02,260.95229
1997-12-03,262.238744
1997-12-04,261.805415
1997-12-05,264.591674
1997-12-08,264.785624
1997-12-09,263.039519
1997-12-10,260.963165
1997-12-11,256.245657
1997-12-12,255.613121
1997-12-15,258.265679
1997-12-16,259.139022
1997-12-17,258.676253
1997-12-18,255.113329
1997-12-19,253.355824
1997-12-22,254.725057
1997-12-23,251.147668
1997-12-24,249.822231
1997-12-25,249.822231
1997-12-26,250.393326
1997-12-29,253.69095
1997-12-30,257.740017
1997-12-31,258.953087
1998-01-01,258.953087
1998-01-02,260.056669
1998-01-05,260.449908
1998-01-06,258.004413
1998-01-07,258.395747
1998-01-08,255.233369
1998-01-09,247.993972
1998-01-12,250.542795
1998-01-13,253.838425
1998-01-14,254.568541
1998-01-15,253.001716
1998-01-16,254.872334
1998-01-19,254.872334
1998-01-20,257.383745
1998-01-21,255.340022
1998-01-22,253.195057
1998-01-23,251.240066
1998-01-26,251.534769
1998-01-27,253.256771
1998-01-28,254.623122
1998-01-29,256.739441
1998-01-30,255.137369
1998-02-02,260.503155
1998-02-03,262.789317
1998-02-04,263.204012
1998-02-05,263.087843
1998-02-06,264.767372
1998-02-09,266.254121
1998-02-10,267.482646
1998-02-11,267.309116
1998-02-12,268.447641
1998-02-13,267.693385
1998-02-16,267.693385
1998-02-17,268.991486
1998-02-18,270.539006
1998-02-19,269.686487
1998-02-20,270.748325
1998-02-23,271.014184
1998-02-24,269.598515
1998-02-25,272.773144
1998-02-26,274.025506
1998-02-27,274.854791
1998-03-02,274.950573
1998-03-03,275.98125
1998-03-04,275.088299
1998-03-05,271.363757
1998-03-06,276.762661
1998-03-09,275.150192
1998-03-10,277.669125
1998-03-11,279.358186
1998-03-12,280.515152
1998-03-13,280.189679
1998-03-16,283.106782
1998-03-17,283.478897
1998-03-18,284.708652
1998-03-19,285.144383
1998-03-20,287.643418
1998-03-23,285.439461
1998-03-24,287.541487
1998-03-25,286.925604
1998-03-26,285.911944
1998-03-27,285.154647
1998-03-30,284.600221
1998-03-31,286.074527
1998-04-01,285.688732
1998-04-02,287.928354
1998-04-03,287.871365
1998-04-06,288.972349
1998-04-07,284.938307
1998-04-08,284.0143
1998-04-09,286.657602
1998-04-10,286.657602
1998-04-13,286.914928
1998-04-14,290.236142
1998-04-15,292.437972
1998-04-16,290.307352
1998-04-17,292.286694
1998-04-20,291.963695
1998-04-21,292.695873
1998-04-22,293.026749
1998-04-23,289.800662
1998-04-24,287.160397
1998-04-27,281.140928
1998-04-28,281.168858
1998-04-29,282.535518
1998-04-30,285.935367
1998-05-01,288.798821
1998-05-04,289.71509
1998-05-05,288.438197
1998-05-06,287.328715
1998-05-07,286.691506
1998-05-08,289.363235
1998-05-11,288.409921
1998-05-12,289.567695
1998-05-13,290.370487
1998-05-14,289.787904
1998-05-15,287.482629
1998-05-18,285.784992
1998-05-19,285.716176
1998-05-20,287.442905
1998-05-21,287.76189
1998-05-22,287.191468
1998-05-25,287.191468
1998-05-26,283.929567
1998-05-27,281.600806
1998-05-28,283.766826
1998-05-29,282.240384
1998-06-01,281.658431
1998-06-02,281.911945
1998-06-03,279.498556
1998-06-04,280.806211
1998-06-05,285.536814
1998-06-08,286.528402
1998-06-09,287.952692
1998-06-10,285.239862
1998-06-11,280.976767
1998-06-12,280.259289
1998-06-15,274.725607
1998-06-16,276.336222
1998-06-17,280.69469
1998-06-18,279.558327
1998-06-19,277.732058
1998-06-22,278.837493
1998-06-23,280.689295
1998-06-24,282.10527
1998-06-25,281.948468
1998-06-26,282.97555
