Date,MSCI USA Prime Value Index
1997-01-31,1304.4917
1997-02-03,1306.058781
1997-02-04,1311.804155
1997-02-05,1299.828174
1997-02-06,1299.734373
1997-02-07,1311.442343
1997-02-10,1305.878808
1997-02-11,1315.554225
1997-02-12,1329.69329
1997-02-13,1341.796821
1997-02-14,1339.289059
1997-02-17,1339.289059
1997-02-18,1345.952123
1997-02-19,1336.852778
1997-02-20,1324.413198
1997-02-21,1327.221902
1997-02-24,1339.881687
1997-02-25,1345.604957
1997-02-26,1333.101619
1997-02-27,1318.851979
1997-02-28,1314.939725
1997-03-03,1321.117907
1997-03-04,1316.483294
1997-03-05,1327.826729
1997-03-06,1327.143519
1997-03-07,1338.602547
1997-03-10,1348.848274
1997-03-11,1345.37929
1997-03-12,1337.629456
1997-03-13,1312.124162
1997-03-14,1320.860146
1997-03-17,1321.465556
1997-03-18,1310.905795
1997-03-19,1307.826081
1997-03-20,1301.405525
1997-03-21,1307.73291
1997-03-24,1322.753153
1997-03-25,1318.408985
1997-03-26,1314.734671
1997-03-27,1288.943604
1997-03-28,1288.943604
1997-03-31,1269.922995
1997-04-01,1272.192896
1997-04-02,1257.556387
1997-04-03,1250.522361
1997-04-04,1253.63422
1997-04-07,1262.245162
1997-04-08,1268.444032
1997-04-09,1261.568533
1997-04-10,1259.199463
1997-04-11,1230.013457
1997-04-14,1234.952562
1997-04-15,1247.949476
1997-04-16,1255.744723
1997-04-17,1256.161525
1997-04-18,1260.322859
1997-04-21,1250.892824
1997-04-22,1269.418169
1997-04-23,1268.618514
1997-04-24,1265.339008
1997-04-25,1257.102222
1997-04-28,1271.860806
1997-04-29,1304.31602
1997-04-30,1313.811386
1997-05-01,1310.381581
1997-05-02,1330.633316
1997-05-05,1355.380343
1997-05-06,1361.772618
1997-05-07,1340.193963
1997-05-08,1350.481057
1997-05-09,1356.486678
1997-05-12,1375.342282
1997-05-13,1369.391111
1997-05-14,1376.532531
1997-05-15,1377.321083
1997-05-16,1365.908794
1997-05-19,1368.322432
1997-05-20,1377.037482
1997-05-21,1369.611819
1997-05-22,1367.310233
1997-05-23,1382.524435
1997-05-26,1382.524435
1997-05-27,1379.708366
1997-05-28,1376.670617
1997-05-29,1373.754771
1997-05-30,1383.941115
1997-06-02,1380.61223
1997-06-03,1384.998818
1997-06-04,1378.451389
1997-06-05,1382.890241
1997-06-06,1398.457118
1997-06-09,1399.9519
1997-06-10,1410.127812
1997-06-11,1417.748653
1997-06-12,1439.636465
1997-06-13,1451.328549
1997-06-16,1453.636545
1997-06-17,1451.566069
1997-06-18,1448.504074
1997-06-19,1458.040652
1997-06-20,1457.052246
1997-06-23,1429.908533
1997-06-24,1452.003074
1997-06-25,1440.542403
1997-06-26,1435.058125
1997-06-27,1440.671581
1997-06-30,1438.634925
1997-07-01,1450.324037
1997-07-02,1467.391251
1997-07-03,1482.038615
1997-07-04,1482.038615
1997-07-07,1475.547309
1997-07-08,1484.802159
1997-07-09,1466.430064
1997-07-10,1477.713063
1997-07-11,1479.223486
1997-07-14,1474.156043
1997-07-15,1480.105267
1997-07-16,1489.253715
1997-07-17,1480.478206
1997-07-18,1461.896573
1997-07-21,1459.732117
1997-07-22,1486.740289
1997-07-23,1489.606552
1997-07-24,1494.801194
1997-07-25,1495.407586
1997-07-28,1497.381811
1997-07-29,1513.192222
1997-07-30,1530.313745
1997-07-31,1531.76292
1997-08-01,1519.079069
1997-08-04,1523.803724
1997-08-05,1525.308601
1997-08-06,1540.966612
1997-08-07,1531.970306
1997-08-08,1505.91044
1997-08-11,1525.7822
1997-08-12,1514.273465
1997-08-13,1505.899691
1997-08-14,1502.941845
1997-08-15,1477.351079
1997-08-18,1496.439809
1997-08-19,1511.49473
1997-08-20,1525.247754
1997-08-21,1507.492817
1997-08-22,1510.258391
1997-08-25,1508.391159
1997-08-26,1500.904302
1997-08-27,1504.426317
1997-08-28,1491.243346
1997-08-29,1485.255559
1997-09-01,1485.255559
1997-09-02,1518.533131
1997-09-03,1521.235327
1997-09-04,1521.878494
1997-09-05,1515.6035
1997-09-08,1526.164546
1997-09-09,1527.361842
1997-09-10,1513.982328
1997-09-11,1505.150868
1997-09-12,1520.488027
1997-09-15,1523.411767
1997-09-16,1557.395925
1997-09-17,1555.535531
1997-09-18,1568.914178
1997-09-19,1564.124726
1997-09-22,1567.019299
1997-09-23,1560.798281
1997-09-24,1553.660257
1997-09-25,1543.773716
1997-09-26,1553.377775
1997-09-29,1564.206793
1997-09-30,1558.580349
1997-10-01,1570.93768
1997-10-02,1574.422106
1997-10-03,1577.401301
1997-10-06,1589.405535
1997-10-07,1599.304192
1997-10-08,1582.70261
1997-10-09,1579.721552
1997-10-10,1577.072067
1997-10-13,1579.348165
1997-10-14,1582.200216
1997-10-15,1579.852091
1997-10-16,1569.761828
1997-10-17,1558.581554
1997-10-20,1574.432932
1997-10-21,1604.216772
1997-10-22,1599.419638
1997-10-23,1570.564329
1997-10-24,1564.879626
1997-10-27,1471.69802
1997-10-28,1518.006446
