Date,MSCI USA Value Exposure Select Index
1998-11-30,1000.0
1998-12-01,1010.271833
1998-12-02,1010.308572
1998-12-03,996.293094
1998-12-04,1014.435397
1998-12-07,1028.558633
1998-12-08,1020.2868
1998-12-09,1016.924936
1998-12-10,997.217009
1998-12-11,998.403331
1998-12-14,978.201825
1998-12-15,988.663901
1998-12-16,989.797786
1998-12-17,1004.293003
1998-12-18,1002.961566
1998-12-21,1011.569883
1998-12-22,1010.958152
1998-12-23,1030.513076
1998-12-24,1029.221958
1998-12-25,1029.221958
1998-12-28,1025.186464
1998-12-29,1038.187682
1998-12-30,1036.177101
1998-12-31,1037.103617
1999-01-01,1037.103617
1999-01-04,1041.706667
1999-01-05,1053.7767
1999-01-06,1081.07795
1999-01-07,1079.134742
1999-01-08,1089.97802
1999-01-11,1085.990795
1999-01-12,1067.458223
1999-01-13,1063.476319
1999-01-14,1043.281524
1999-01-15,1060.701182
1999-01-18,1060.701182
1999-01-19,1063.591472
1999-01-20,1055.459042
1999-01-21,1035.417616
1999-01-22,1027.528392
1999-01-25,1031.460015
1999-01-26,1043.566506
1999-01-27,1025.955461
1999-01-28,1042.538023
1999-01-29,1058.510746
1999-02-01,1056.80302
1999-02-02,1042.999618
1999-02-03,1057.365086
1999-02-04,1041.957524
1999-02-05,1031.945859
1999-02-08,1034.795275
1999-02-09,1011.584612
1999-02-10,1012.406953
1999-02-11,1029.164226
1999-02-12,1011.830238
1999-02-15,1011.830238
1999-02-16,1015.989372
1999-02-17,998.426012
1999-02-18,1010.378812
1999-02-19,1013.388022
1999-02-22,1042.54575
1999-02-23,1039.778187
1999-02-24,1032.043774
1999-02-25,1026.189918
1999-02-26,1011.878209
1999-03-01,1012.654848
1999-03-02,1013.411847
1999-03-03,1015.995078
1999-03-04,1022.497293
1999-03-05,1040.708756
1999-03-08,1046.547255
1999-03-09,1037.983085
1999-03-10,1042.03298
1999-03-11,1042.375923
1999-03-12,1034.792222
1999-03-15,1046.027563
1999-03-16,1047.830357
1999-03-17,1045.285125
1999-03-18,1062.096706
1999-03-19,1043.959053
1999-03-22,1040.940554
1999-03-23,1013.962028
1999-03-24,1022.589731
1999-03-25,1035.96314
1999-03-26,1034.107447
1999-03-29,1050.392762
1999-03-30,1038.178208
1999-03-31,1027.320344
1999-04-01,1031.104161
1999-04-02,1031.104161
1999-04-05,1048.311035
1999-04-06,1041.606875
1999-04-07,1040.055435
1999-04-08,1047.929779
1999-04-09,1056.557505
1999-04-12,1059.515554
